AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"147,886,000",0.0,,,,,29.76,"61,900",0.2,13.14,16.03,22.26,35.32,53.03,"27,340","33,330","46,310","73,460","110,290",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"9,860,740",0.6,,,,,63.08,"131,200",0.6,24.18,36.23,51.62,78.71,106.03,"50,290","75,350","107,360","163,710","220,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"3,618,820",0.3,,,,,62.04,"129,050",1.1,20.89,30.06,48.02,76.96,#,"43,440","62,520","99,890","160,070",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"199,240",0.9,,,,,118.48,"246,440",1.6,36.02,58.89,91.12,#,#,"74,920","122,480","189,520",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"199,240",0.9,,,,,118.48,"246,440",1.6,36.02,58.89,91.12,#,#,"74,920","122,480","189,520",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"3,376,680",0.3,,,,,59.07,"122,860",1.1,20.90,29.84,47.16,74.31,106.38,"43,470","62,070","98,100","154,560","221,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"3,376,680",0.3,,,,,59.07,"122,860",1.1,20.90,29.84,47.16,74.31,106.38,"43,470","62,070","98,100","154,560","221,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"42,890",2.1,,,,,*,"71,100",1.7,*,*,*,*,*,"20,970","28,690","48,090","94,030","149,710",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"42,890",2.1,,,,,*,"71,100",1.7,*,*,*,*,*,"20,970","28,690","48,090","94,030","149,710",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"977,490",2.0,,,,,73.23,"152,320",0.4,31.20,45.72,63.86,88.50,#,"64,890","95,100","132,820","184,080",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,"22,010",3.1,,,,,70.70,"147,050",2.2,29.03,40.87,61.46,83.14,#,"60,380","85,020","127,830","172,920",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"22,010",3.1,,,,,70.70,"147,050",2.2,29.03,40.87,61.46,83.14,#,"60,380","85,020","127,830","172,920",#,,
