Jobs Lost,Jobs Remaining,OCC_CODE,OCC_TITLE,TOT_EMP,dexterity,explanation,group,solo,vulnerability
591644.4,9269095.6,11-0000,Management Occupations,9860740.0,0.1,"Management occupations typically involve a high degree of group collaboration and communication, as they often require leading teams, making strategic decisions, and interacting with various stakeholders. This accounts for the high percentage in this category. Solo computer work, such as planning, budgeting, and reporting, also forms a significant part of their job, but not as much as group work. High dexterity physical contact is minimal in these roles, as they are not usually involved in manual labor. The vulnerability to AI displacement is relatively low because the human element is crucial in management roles for leadership, decision-making, and interpersonal communication. However, some aspects of their work, such as data analysis and administrative tasks, could be automated.",0.6,0.3,0.2
253317.40000000002,3365502.6,11-1000,Top Executives,3618820.0,0.05,"Top executives' roles often involve a high degree of group collaboration and communication, such as meetings, strategic planning, and leadership, which is difficult to automate and accounts for 60% of their work. Solo computer work, such as email communication and document preparation, could be automated to some extent and makes up about 35% of their work. High dexterity physical contact is minimal in this role, estimated at 5%. The intrinsic technological vulnerability is relatively low at 20% as the strategic and leadership aspects of these roles are challenging to automate completely.",0.6,0.35,0.2
102636.45,874853.55,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",977490.0,0.05,"The occupation of Advertising, Marketing, Promotions, Public Relations, and Sales Managers involves a significant amount of group collaboration and communication, which is difficult to automate. This includes tasks such as meetings, marketing strategies, coaching, and teaching. Solo computer work, such as data analysis and report writing, makes up a smaller portion of the job, but is more susceptible to automation. High dexterity physical contact is minimal in this occupation. Despite the potential for automation in some areas, the intrinsic need for human judgment, creativity, and interpersonal skills in this field suggests a relatively lower risk of job displacement due to AI.",0.6,0.35,0.3
626942.7,1695067.3,11-3000,Operations Specialties Managers,2322010.0,0.05,"Operations Specialties Managers often require a balance of solo computer work and group collaboration & communication. Their tasks often involve planning, directing, or coordinating the operations of public or private sector organizations. While AI can automate some of the solo computer work, such as data analysis and report generation, the high level of group collaboration & communication, such as team management, negotiation, and strategic decision making, is harder to automate. However, the vulnerability is relatively high as AI continues to improve in decision-making capabilities.",0.5,0.45,0.6
176545.2,2765874.8,11-9000,Other Management Occupations,2942420.0,0.1,"The occupation code 11-9000 refers to Other Management Occupations. These jobs typically require a high level of group collaboration and communication, as they involve managing teams, making strategic decisions, and interacting with various stakeholders. Therefore, 60% of the work is estimated to fall under this category. Around 30% of the work could be solo computer work, such as planning, budgeting, and report writing, which could potentially be automated. However, only 10% of the work involves high dexterity physical contact, as most management jobs are not physically demanding. The intrinsic technological vulnerability is estimated to be 20%, as the human element is crucial in management roles for leadership, decision-making, and interpersonal skills. Despite the potential for automation in some areas, the need for human judgment and interaction in these roles remains high.",0.6,0.3,0.2
3774310.8,5903409.2,13-0000,Business and Financial Operations Occupations,9677720.0,0.05,"Business and Financial Operations Occupations typically involve a significant amount of solo computer work, such as data analysis, financial planning, and report writing, which are highly susceptible to automation. However, these occupations also require a fair amount of group collaboration and communication, such as meetings and presentations, which are more difficult to automate. The dexterity component is minimal, as these jobs do not typically require manual labor. The vulnerability to AI displacement is relatively high due to the significant portion of work that can be automated, but the need for human judgment and communication skills in these roles somewhat mitigates this risk.",0.3,0.65,0.6
1798418.7,4862391.3,13-1000,Business Operations Specialists,6660810.0,0.05,"Business Operations Specialists often work in an office environment, with a significant portion of their work involving solo computer tasks such as data analysis, report generation, and project planning. This makes a large part of their job susceptible to automation. However, they also engage in a substantial amount of group collaboration and communication, such as meetings and presentations, which are less likely to be automated. The dexterity component is minimal, as their work does not typically involve manual labor. The vulnerability to AI displacement is estimated to be moderately high due to the significant portion of their work that could be automated, despite the human element in their group collaboration tasks.",0.5,0.45,0.6
1372694.0499999998,1644215.9500000002,13-2000,Financial Specialists,3016910.0,0.05,"Financial Specialists primarily work with data analysis, financial modeling, and other tasks that can be done on a computer, making them highly susceptible to automation. While there is a significant portion of their work that involves group collaboration and communication, AI advancements in natural language processing and decision-making capabilities could potentially automate these tasks as well. However, the need for high dexterity physical contact is minimal in this occupation. The intrinsic technological vulnerability is high due to the nature of the work, which doesn't necessarily require human involvement. Therefore, there is a 70% estimated risk of job displacement due to AI and automation.",0.3,0.65,0.7
2802189.6,2201720.4,15-0000,Computer and Mathematical Occupations,5003910.0,0.05,"Computer and Mathematical Occupations primarily involve solo computer work, which is highly susceptible to automation. The dexterity component is minimal, as these jobs do not require significant physical labor or manual dexterity. There is a moderate amount of group collaboration and communication involved, but this is not the primary component of the work. Given the nature of the work and the capabilities of AI, there is a high risk of job displacement in this field, estimated at 80%.",0.25,0.7,0.8
2619400.0,2058100.0,15-1200,Computer Occupations,4677500.0,0.05,"The occupation code 15-1200 refers to Computer Occupations. These jobs typically involve a high degree of solo computer work, which is highly susceptible to automation. The dexterity component is relatively low as these jobs do not require much physical labor or manual dexterity. Group collaboration and communication is moderate as these jobs often require some level of interaction and collaboration with team members. The vulnerability to AI and automation is high due to the nature of the work, which involves a lot of tasks that can be automated such as coding, data analysis, and system administration.",0.25,0.7,0.8
137088.0,189312.0,15-2000,Mathematical Science Occupations,326400.0,0.05,"Mathematical Science Occupations primarily involve solo computer work, such as data analysis, algorithm development, and mathematical modeling, which are highly susceptible to automation. However, there is also a significant portion of work that involves group collaboration and communication, such as presenting findings, collaborating on projects, and teaching. The dexterity component is minimal, as these occupations do not typically involve manual labor. The vulnerability to AI displacement is relatively high due to the significant portion of work that can be automated. However, the need for human judgment, creativity, and communication in these roles provides some level of job security.",0.25,0.7,0.6
496234.0,1984936.0,17-0000,Architecture and Engineering Occupations,2481170.0,0.2,"Architecture and Engineering Occupations require a significant amount of solo computer work, such as designing, modeling, and analyzing data, which makes up about 50% of the job activities. These tasks are highly susceptible to automation. However, these occupations also require a fair amount of group collaboration and communication, such as project meetings, client interactions, and team collaborations, which account for about 30% of the job activities. These tasks are less likely to be automated. A smaller portion of the job activities, about 20%, involves high dexterity physical contact, such as on-site inspections and manual adjustments, which are the hardest to automate. Given the nature of these occupations, the intrinsic technological vulnerability is estimated to be 40%, as there is a significant need for human judgment, creativity, and interaction, especially in the design and decision-making processes.",0.3,0.5,0.4
37328.0,149312.0,17-1000,"Architects, Surveyors, and Cartographers",186640.0,0.2,"Architects, Surveyors, and Cartographers require a mix of dexterity, solo computer work, and group collaboration. Dexterity is needed for on-site work and model creation, which accounts for 20% of their work. Solo computer work, such as drafting and design, makes up about 50% of their work. Group collaboration, including client meetings and team coordination, accounts for the remaining 30%. The vulnerability to AI displacement is estimated at 40% due to the high reliance on human judgment, creativity, and client interaction, which are currently difficult to automate.",0.3,0.5,0.4
398215.2,1261014.8,17-2000,Engineers,1659230.0,0.1,"Engineers, while they do require some level of manual dexterity for tasks such as prototyping or hardware testing, spend a significant portion of their time working solo on a computer, designing, analyzing, and simulating. However, they also require a fair amount of group collaboration and communication, particularly when working on large projects. The intrinsic technological vulnerability is moderate as while many tasks can be automated, the need for human ingenuity, creativity, and problem-solving skills in engineering is still high.",0.3,0.6,0.4
289061.5,346238.5,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",635300.0,0.15,"The occupation of Drafters, Engineering Technicians, and Mapping Technicians involves a significant amount of solo computer work, such as drafting designs and analyzing data, which makes it highly susceptible to automation. While there is some level of dexterity involved in certain tasks, such as operating equipment or conducting fieldwork, this is not the majority of the work. Group collaboration and communication is also a part of the job, but it is not the primary function. Given the high level of solo computer work and the relatively low need for human dexterity and face-to-face interaction, this occupation has a high vulnerability to displacement due to AI and automation.",0.2,0.65,0.7
262872.0,1051488.0,19-0000,"Life, Physical, and Social Science Occupations",1314360.0,0.2,"Life, Physical, and Social Science Occupations often require a significant amount of solo computer work, such as data analysis and research, which could be automated. However, these occupations also require a fair amount of group collaboration and communication, such as presenting findings and collaborating on research, which is more difficult to automate. Additionally, some of these occupations require a degree of manual dexterity, such as conducting physical experiments or handling delicate samples. While there is a risk of job displacement due to AI, the need for human judgment, creativity, and communication in these fields reduces this risk somewhat.",0.3,0.5,0.4
43035.299999999996,275744.7,19-1000,Life Scientists,318780.0,0.15,"Life Scientists often require a certain level of manual dexterity for tasks such as lab experiments and field work, hence a 15% allocation. A significant portion of their work involves data analysis and report writing, which can be done solo on a computer, hence a 45% allocation. Collaboration is also key in this field for brainstorming, discussing findings and planning further research, hence a 40% allocation. The intrinsic technological vulnerability is estimated at 30% as while some tasks can be automated, the need for human judgement, creativity and ethical considerations in life sciences research is still high.",0.4,0.45,0.3
55233.200000000004,195826.8,19-2000,Physical Scientists,251060.0,0.15,"Physical Scientists often require a degree of manual dexterity for lab work and fieldwork, but a significant portion of their work involves data analysis and computer modeling, which could be automated. However, their work also often involves collaboration and communication with other scientists, which is less susceptible to automation. The intrinsic technological vulnerability is moderate as some aspects of the job could be automated, but the need for human judgment and interpretation in scientific research is still high.",0.3,0.55,0.4
20488.800000000003,235621.2,19-3000,Social Scientists and Related Workers,256110.0,0.1,"Social Scientists and Related Workers often require a high level of human interaction and judgment, making them less susceptible to automation. While some of their work can be done solo on a computer, much of it involves collaboration and communication with others. Their work also requires a level of dexterity, as they may need to handle various materials or equipment. However, there is a small risk of job displacement due to the rise of AI, as some data analysis and research tasks could potentially be automated.",0.5,0.4,0.2
74615.09999999999,280694.9,19-4000,"Life, Physical, and Social Science Technicians",355310.0,0.25,"Life, Physical, and Social Science Technicians often require a mix of dexterity for lab work, solo computer work for data analysis, and group collaboration for research planning and discussion. However, with the rise of AI, many of these tasks, especially data analysis and some lab work, could be automated. Therefore, there is a moderate to high risk of job displacement in this field.",0.4,0.35,0.6
15972.0,117128.0,19-5000,Occupational Health and Safety Specialists and Technicians,133100.0,0.2,"Occupational Health and Safety Specialists and Technicians require a mix of physical dexterity, solo computer work, and group collaboration. Physical dexterity is needed for on-site inspections and handling safety equipment. Solo computer work is involved in analyzing data and preparing reports. Group collaboration is essential for conducting safety training and meetings. The intrinsic technological vulnerability is relatively low as the human judgment and interaction involved in ensuring workplace safety cannot be fully replaced by AI. However, some aspects of data analysis and report preparation could be automated, hence a vulnerability score of 0.3.",0.4,0.4,0.3
57840.5,2255779.5,21-0000,Community and Social Service Occupations,2313620.0,0.15,"Community and Social Service Occupations involve a significant amount of human interaction, empathy, and understanding, which are difficult to automate. While some tasks such as data entry and report generation can be automated (25%), the majority of the work involves group collaboration and communication (60%). There is a small portion of the work that may require manual dexterity (15%), such as handling paperwork or setting up equipment for presentations or community events. The intrinsic technological vulnerability is low (10%) due to the high demand for human empathy, understanding, and interaction in these roles.",0.6,0.25,0.1
44514.600000000006,2181215.4,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2225730.0,0.1,"The occupation of Counselors, Social Workers, and Other Community and Social Service Specialists involves a significant amount of group collaboration and communication, as it requires face-to-face interactions with clients, colleagues, and other stakeholders. This makes up about 70% of the work activities. Solo computer work, such as documentation and research, accounts for about 20% of the work. High dexterity physical contact is minimal, estimated at 10%, as the job does not require much manual labor. The intrinsic technological vulnerability is low, at 10%, as the nature of the work requires a high level of human interaction and empathy, which cannot be easily replaced by AI or machines.",0.7,0.2,0.1
2197.25,85692.75,21-2000,Religious Workers,87890.0,0.15,"Religious workers, as per the given Occupation Code, are primarily involved in activities that require a high degree of human interaction and emotional intelligence. These activities include counseling, teaching, and leading religious ceremonies, which account for 60% of their work. These tasks are difficult to automate due to their inherent need for human empathy, understanding, and connection. Solo computer work, such as administrative tasks or sermon preparation, could potentially be automated and accounts for 25% of their work. High dexterity physical contact work is relatively low at 15%, as it might include tasks like setting up for ceremonies or events. The overall vulnerability to AI displacement is low at 10% due to the high demand for human interaction and emotional intelligence in this occupation.",0.6,0.25,0.1
145992.0,1070608.0,23-0000,Legal Occupations,1216600.0,0.1,"Legal occupations often require a high degree of human judgement, decision-making, and face-to-face interactions, making them less susceptible to automation. However, some aspects of the work, such as research, document review, and drafting, can be done solo on a computer and are thus more vulnerable to automation. The dexterity component is relatively low as most legal work does not require manual labor. The overall vulnerability to displacement by AI is estimated to be moderate, as AI can potentially take over some tasks but not all.",0.5,0.4,0.3
53984.0,717216.0,23-1000,"Lawyers, Judges, and Related Workers",771200.0,0.05,"The occupation of Lawyers, Judges, and Related Workers involves a significant amount of group collaboration and communication, such as court proceedings, client meetings, and negotiation sessions, which are difficult to automate. Solo computer work, such as legal research and document drafting, could potentially be automated, but the complexity and nuance of legal language may pose a challenge for AI. The job requires minimal physical dexterity. Despite the potential for automation in some areas, the intrinsic need for human judgment, ethics, and the ability to understand and navigate complex human situations makes this occupation less vulnerable to displacement by AI.",0.6,0.35,0.2
133620.0,311780.0,23-2000,Legal Support Workers,445400.0,0.1,"Legal Support Workers, such as paralegals and legal assistants, often perform a mix of solo computer work, group collaboration, and some tasks requiring manual dexterity. The majority of their work involves researching legal precedents, drafting documents, and organizing files, which can be done on a computer and thus are susceptible to automation. However, they also engage in significant group collaboration, such as meeting with clients, attorneys, and court personnel, which is less likely to be automated. Tasks requiring manual dexterity, such as handling physical files or documents, make up a smaller portion of their work. Given the nature of their work, there is a moderate risk of job displacement due to AI, as many of their tasks can be automated, but the need for human judgment and interaction in the legal field remains significant.",0.4,0.5,0.6
424839.0,8071941.0,25-0000,Educational Instruction and Library Occupations,8496780.0,0.15,"Educational Instruction and Library Occupations require a significant amount of group collaboration and communication, as teaching, coaching, and library assistance often involve direct human interaction. This makes up an estimated 60% of the work activities. Solo computer work, such as lesson planning, grading, and research, may account for about 25% of the work. High dexterity physical contact is less common in these occupations, but may still account for around 15% of the work, such as handling books in a library or demonstrating a task in a classroom. The intrinsic technological vulnerability is relatively low, at 20%, as the human element is crucial in education and library services. While certain tasks may be automated, the need for human interaction and judgement in these fields is likely to remain.",0.6,0.25,0.2
96620.29999999999,1283669.7,25-1000,Postsecondary Teachers,1380290.0,0.05,"Postsecondary teachers require a low level of dexterity as their work does not involve much physical labor. A significant portion of their work involves solo tasks such as research, grading, and lesson planning which can be done on a computer. However, a large part of their job involves group collaboration and communication, such as teaching, advising, and attending meetings. While AI can assist in some aspects of their job, the need for human interaction and judgment in teaching and advising students makes this occupation less vulnerable to displacement by AI.",0.6,0.35,0.2
104441.0,4073199.0,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",4177640.0,0.15,"The occupation of teaching, especially at the preschool, elementary, middle, secondary, and special education levels, involves a significant amount of group collaboration and communication. This includes face-to-face interactions with students, parents, and other educators, which is difficult to automate. While there is a portion of the job that involves solo computer work, such as lesson planning and grading, this is not the majority of the work. There is also a small amount of high dexterity physical contact involved, such as setting up classroom materials. The intrinsic technological vulnerability is low, as the human element is crucial in education, particularly in understanding and responding to individual student needs and in providing a nurturing learning environment.",0.6,0.25,0.1
48865.0,928435.0,25-3000,Other Teachers and Instructors,977300.0,0.15,"The occupation of Other Teachers and Instructors involves a significant amount of group collaboration and communication, as teaching inherently involves interaction with students. This makes up 60% of the job activities. Solo computer work, such as lesson planning and grading, makes up about 25% of the job. High dexterity physical contact is relatively low at 15%, as this could involve setting up classroom materials or demonstrating certain activities. The intrinsic technological vulnerability is estimated at 20%, as the human element in teaching is crucial, especially in terms of empathy, understanding, and adaptability to individual student needs. However, certain aspects like grading and lesson planning could be automated.",0.6,0.25,0.2
31872.149999999998,204217.85,25-4000,"Librarians, Curators, and Archivists",236090.0,0.15,"Librarians, Curators, and Archivists require a moderate level of dexterity for tasks such as handling books and artifacts (15%). A significant portion of their work involves solo computer work, such as cataloging and research (45%). However, they also spend a considerable amount of time in group collaboration and communication, such as assisting patrons and conducting educational programs (40%). The intrinsic technological vulnerability is relatively low (30%) because these professionals provide a human touch in their services that cannot be fully replaced by AI, such as understanding specific patron needs and providing personalized assistance.",0.4,0.45,0.3
86273.0,1639187.0,25-9000,Other Educational Instruction and Library Occupations,1725460.0,0.15,"This occupation code includes a variety of educational and library occupations. The high dexterity component (15%) is due to tasks such as handling books, materials, and equipment. Solo computer work (25%) includes tasks such as research, planning, and administrative tasks. The majority of the work (60%) involves group collaboration and communication, such as teaching, coaching, and interacting with students or library patrons. The intrinsic technological vulnerability is relatively low (20%) because the human element is crucial in education and library services, for understanding, empathy, and personalized service.",0.6,0.25,0.2
154753.5,1908626.5,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",2063380.0,0.35,"Arts, Design, Entertainment, Sports, and Media Occupations often require a high level of creativity, human interaction, and physical dexterity, which are difficult to automate. While some aspects of these jobs, such as editing or graphic design, can be done on a computer and are thus susceptible to automation, many other aspects, such as performing arts or sports, require physical presence and dexterity. Furthermore, these occupations often require a high level of group collaboration and communication, such as in brainstorming sessions or team sports. Therefore, while there is some risk of job displacement due to AI, it is relatively low compared to other occupations.",0.4,0.25,0.3
95006.79999999999,583613.2,27-1000,Art and Design Workers,678620.0,0.35,"Art and Design Workers require a significant amount of manual dexterity for tasks such as sketching, painting, and sculpting, which is difficult to automate. They also spend a considerable amount of time working solo on a computer, using design software, which is susceptible to automation. However, they also engage in a fair amount of group collaboration and communication, such as client meetings and team brainstorming sessions, which is difficult to automate. Despite the technological advancements in AI, the creative and subjective nature of art and design work makes it less vulnerable to automation compared to other occupations. Therefore, the estimated risk of displacement due to no intrinsic need for humans is 40%.",0.3,0.35,0.4
10532.0,516068.0,27-2000,"Entertainers and Performers, Sports and Related Workers",526600.0,0.6,"Entertainers and Performers, Sports and Related Workers require a high level of dexterity and physical coordination, making up 60% of their work activities. Solo computer work is minimal, at 10%, as their work is largely performance-based. Group collaboration and communication make up 30% of their work, as they often work in teams or groups. The vulnerability to AI displacement is relatively low at 20%, as the intrinsic human element is crucial in this field. The emotional connection, creativity, and physical presence that humans bring to entertainment and sports cannot be easily replicated by AI.",0.3,0.1,0.2
99278.54999999999,531061.45,27-3000,Media and Communication Workers,630340.0,0.15,"Media and Communication Workers often require a mix of solo computer work, group collaboration, and some level of dexterity. The solo computer work, such as writing, editing, and digital design, is highly susceptible to automation. However, the group collaboration aspect, which includes brainstorming sessions, meetings, and presentations, is less likely to be automated. The dexterity component comes into play in tasks such as setting up equipment for recording or broadcasting. The intrinsic technological vulnerability is moderate as the creative and human aspect of this occupation is still crucial, despite the potential for automation in certain tasks.",0.4,0.45,0.35
61508.7,166301.3,27-4000,Media and Communication Equipment Workers,227810.0,0.15,"Media and Communication Equipment Workers often require a mix of solo computer work, group collaboration, and some level of dexterity. The solo computer work, which makes up about 45% of the job, is highly susceptible to automation. Group collaboration, which is about 40% of the job, is less likely to be automated due to the need for human interaction and decision-making. Dexterity is required for about 15% of the job, which is the hardest to automate. However, given the high percentage of computer work and the nature of the industry which is rapidly embracing AI and automation, the vulnerability of this occupation to displacement due to AI is estimated to be 60%.",0.4,0.45,0.6
